query_text,item_description,label
running shoes,red aluminum running shoes with USB-C charging,1
running shoes,red ceramic hiking boots with non-slip grip,0
running shoes,ergonomic leather running shoes with magnetic closure,1
running shoes,green bamboo water bottle with spill-proof lid,0
running shoes,red aluminum running shoes with USB-C charging,1
running shoes,green plastic desk lamp with USB-C charging,0
running shoes,sleek aluminum running shoes with noise cancelling,1
running shoes,portable stainless steel phone case with shock absorption,0
running shoes,white silicone running shoes with foldable design,1
running shoes,portable mesh yoga mat with non-slip grip,0
hiking boots,compact stainless steel hiking boots with magnetic closure,1
hiking boots,black aluminum desk lamp with non-slip grip,0
hiking boots,blue mesh hiking boots with noise cancelling,1
hiking boots,portable bamboo desk lamp with double-wall insulation,0
hiking boots,red bamboo hiking boots with arch support,1
hiking boots,blue leather phone case with quick-dry lining,0
hiking boots,white silicone hiking boots with foldable design,1
hiking boots,black leather wireless headphones with quick-dry lining,0
hiking boots,red aluminum hiking boots with foldable design,1
hiking boots,green aluminum phone case with arch support,0
yoga mat,lightweight ceramic yoga mat with noise cancelling,1
yoga mat,lightweight aluminum coffee mug with adjustable height,0
yoga mat,insulated stainless steel yoga mat with magnetic closure,1
yoga mat,compact ceramic bluetooth speaker with magnetic closure,0
yoga mat,sleek bamboo yoga mat with noise cancelling,1
yoga mat,wireless mesh phone case with LED dimmer,0
yoga mat,sleek mesh yoga mat with LED dimmer,1
yoga mat,black mesh bluetooth speaker with non-slip grip,0
yoga mat,lightweight ceramic yoga mat with noise cancelling,1
yoga mat,foldable ceramic running shoes with adjustable height,0
coffee mug,black bamboo coffee mug with noise cancelling,1
coffee mug,blue bamboo hiking boots with LED dimmer,0
coffee mug,green ceramic coffee mug with double-wall insulation,1
coffee mug,foldable ceramic desk lamp with double-wall insulation,0
coffee mug,lightweight leather coffee mug with foldable design,1
coffee mug,green ceramic water bottle with magnetic closure,0
coffee mug,green ceramic coffee mug with double-wall insulation,1
coffee mug,ergonomic leather running shoes with magnetic closure,0
coffee mug,portable leather coffee mug with LED dimmer,1
coffee mug,compact stainless steel hiking boots with magnetic closure,0
water bottle,red ceramic water bottle with USB-C charging,1
water bottle,blue bamboo hiking boots with LED dimmer,0
water bottle,compact plastic water bottle with adjustable height,1
water bottle,ergonomic stainless steel laptop stand with non-slip grip,0
water bottle,lightweight mesh water bottle with LED dimmer,1
water bottle,ergonomic leather bluetooth speaker with adjustable height,0
water bottle,wireless stainless steel water bottle with USB-C charging,1
water bottle,blue silicone wireless headphones with USB-C charging,0
water bottle,foldable mesh water bottle with quick-dry lining,1
water bottle,black mesh yoga mat with shock absorption,0
wireless headphones,blue aluminum wireless headphones with LED dimmer,1
wireless headphones,foldable ceramic yoga mat with double-wall insulation,0
wireless headphones,ergonomic plastic wireless headphones with LED dimmer,1
wireless headphones,lightweight leather water bottle with noise cancelling,0
wireless headphones,black mesh wireless headphones with quick-dry lining,1
wireless headphones,green plastic coffee mug with LED dimmer,0
wireless headphones,blue silicone wireless headphones with double-wall insulation,1
wireless headphones,compact ceramic coffee mug with USB-C charging,0
wireless headphones,green stainless steel wireless headphones with non-slip grip,1
wireless headphones,red stainless steel phone case with quick-dry lining,0
bluetooth speaker,black leather bluetooth speaker with double-wall insulation,1
bluetooth speaker,green plastic coffee mug with LED dimmer,0
bluetooth speaker,insulated bamboo bluetooth speaker with foldable design,1
bluetooth speaker,white mesh laptop stand with adjustable height,0
